1307774	945339
2192896	1005679
4582363	3286128
5097576	3639082
5044045	4675213
4947522	4216993
1361749	898014
1307774	945339
2192896	1005679
21043662	20086822
164270	105315
1911017	964307
1346771	405856
1976607	737208
117994	77482
1289636	443096
27528917	26503665
7480822	7057876
13766464	13234824
13752382	13277062
11336386	10874802
14836926	14347452
14594125	14071980
13342660	12840809
14485697	14030755
13368026	13102806
27741200	26838290
79228165	66767716
30286169	29323252
14130924	13626381
4035961	2873068
1171683	1101523
658459	560065
14205639	13299349
14863146	14372962
14197514	10999500
12540656	12081192
13551758	13024789
15642855	15108992
12734642	12317222
380412	338152
1307774	945339
2192896	1005679
1911017	964307
1346771	405856
1976607	737208
117994	77482
1289636	443096
21043662	20086822
2192896	1005679
1911017	964307
1346771	405856
1976607	737208
117994	77482
1289636	443096
21043713	20086873
1409352	970901
1506	716
1506	716
1506	716
1506	716
1837	716
1837	716
1837	716
3179	1936
3512	1936
3179	1936
1506	716
790	0
115700	10588
790	0
1506	716
1675	738
1963	1026
1963	1026
1311	288
1970	824
1963	1026
1963	1026
1963	1026
1963	1026
1963	1026
1963	1026
1970	824
1963	1026
601	0
601	0
601	0
1963	1026
1963	1026
601	0
1963	1026
601	0
1963	1026
601	0
1963	1026
1620	683
179853	149206
179853	149206
179853	149206
1386444	48450
1386444	48450
47334	43081
91987	84123
83979	74370
87102	79242
90483	80308
75969	60452
74995	65726
76882	64283
78342	68709
74771	57051
73490	63528
74148	58628
73618	59494
72820	63579
72930	62385
73034	63943
73989	58913
73927	59272
73599	61917
72340	64956
68935	20140
71497	11661
70961	0
71444	0
71447	0
71448	0
71449	0
71445	0
71445	0
71447	0
71452	0
71442	0
71441	0
71443	0
71443	0
71445	0
71437	0
71450	0
72142	5345
74030	56346
73562	60441
72166	66906
72678	61821
74328	62124
74883	56939
73268	60160
71994	66360
47485	39673
70528	63354
76011	71374
76217	75022
76416	68604
77797	65923
75907	59525
76049	65077
75406	65635
77892	65608
77597	65011
72885	64032
74161	60396
74272	56977
73356	60235
71847	66774
72158	62404
74308	61003
74516	56371
76243	55980
76812	65011
75499	66533
77004	64784
79075	69753
73034	60290
77174	59775
76488	62090
75103	66138
76871	63797
78901	70031
74933	57992
73958	63242
74190	58555
73797	59697
72898	64400
72855	60997
73418	64920
74094	58709
73927	59196
74959	68191
76974	61203
75989	60169
75288	66340
76887	64875
78433	68026
74806	56811
73719	63934
74408	58995
73597	58770
73084	63843
73036	62450
73066	63582
73989	58913
73471	58512
73222	61352
72485	65383
52480	43758
84772	80521
78975	59291
76488	62090
75103	66138
76871	63797
78901	70031
74933	57992
73958	63242
74190	58555
73797	59697
72898	64400
72855	60997
73418	64920
74094	58709
73927	59196
73114	62751
72514	64658
3024	1631
0	0
0	0
0	0
0	0
0	0
68037	49741
76770	63274
75135	66167
76852	63830
79306	70439
73926	58778
73781	62526
73787	57121
73670	60406
72454	64696
72661	60540
75017	62555
75079	57092
74510	64951
76317	64914
77464	65594
76040	59560
75904	57397
75535	61259
74665	65768
76037	63075
78410	69620
73963	57367
73026	62420
73427	57614
72908	59047
71972	63564
72065	60040
72486	64074
73284	57904
73274	58679
72714	62461
72013	64241
58985	48356
75459	69956
79098	62468
76241	59606
74823	65889
76882	65682
77695	66333
75385	56538
72820	64365
73499	58191
73494	58831
72783	62475
72152	64244
72805	62759
73631	58483
73176	58326
73356	59279
71854	66076
74148	60018
73045	59980
71547	66327
66457	26499
70978	0
71453	3681
71773	8863
71817	9198
71942	11043
71795	8605
71809	8617
71196	0
71199	0
71195	0
71194	0
71198	0
71195	0
71201	0
71196	0
71206	0
72920	34730
73145	59807
71809	66476
53849	47728
75265	70378
71785	27463
71048	0
71833	9207
71499	8589
71696	7362
71574	9816
71484	8008
71583	5533
71197	0
71196	0
71198	0
71195	0
71195	0
71197	0
71200	0
71204	0
71198	0
71198	0
71196	0
73971	22702
75812	56432
75387	64204
75563	63594
77796	66426
76517	60254
73028	64372
73870	59783
73761	57732
73278	59295
71409	66898
73323	63124
74465	67654
75917	55265
76129	63839
74756	65228
77734	66357
77183	64588
72754	63548
73818	59945
74049	56649
72970	59918
71522	66473
71968	61709
73806	61308
74400	56415
73156	60305
71889	66465
71319	56779
72527	64255
68275	58330
76025	71138
76432	56356
76659	63994
75111	66180
76985	64564
78590	69219
73070	59566
75778	74015
72789	63072
73632	58571
73195	58967
73269	60056
71979	65652
53092	45401
56275	46367
76793	68872
75632	55265
75648	63059
75044	65516
78215	66838
76868	64588
72850	63644
91987	84123
91987	84123
91987	84123
91987	84123
91987	84123
822995	738333
2274032	1376759
2996853	1517944
2996853	1517944
7481842	5742226
9326411	8803586
9326411	8803586
829169	742336
84734	69560
9326411	8803586
2274032	1376759
